TC_ID | Title | Preconditions | Steps | Expected Result
PROF-020 | Confirming upgrade switches the plan | Upgrade confirmation dialog is open | 1. Tap "Upgrade" 2. Tap "Switch" | Button shows a loading state; POST /api/billing/checkout is called with the premium plan id; profile reloads; a snackbar reads "You're on {Plan.name}."
PROF-021 | Upgrade failure shows an error toast | POST /api/billing/checkout fails after confirming | 1. Tap "Upgrade", tap "Switch" 2. Simulate checkout failure | Loading state clears; snackbar reads "Could not switch plans: {error}"; plan remains unchanged
PROF-022 | Restore purchases finds vs. does not find a prior purchase | POST /api/billing/restore returns isPremium=true (found) or isPremium=false (not found) | 1. Tap "Restore purchases" with a prior purchase on the account 2. Repeat for an account with none | (1) Profile reloads and a snackbar reads "Premium restored." with the state card now shown; (2) snackbar reads "No previous purchase found on this account." and the user stays on the free plan
PROF-023 | Restore purchases failure shows an error toast | POST /api/billing/restore throws | 1. Tap "Restore purchases" 2. Simulate a network/server failure | Snackbar reads "Could not restore purchases: {error}"
PROF-024 | Premium state card reflects Active / Renewing / Cancelled status | User is premium: (a) no renewsAt at all (b) renewsAt set, not cancelled (c) cancelled (cancelledAt set) with a known expiry | 1. Load Profile with case (a) 2. Load with case (b) 3. Load with case (c) | (a) status text reads "Active."; (b) reads "Renews {Month Year}." with a "Cancel Premium" button; (c) reads "Cancelled — yours until {Month Year}." with a "Renew Premium" button instead, which re-invokes the upgrade flow when tapped
PROF-025 | Declining cancellation keeps the subscription | Premium, not-yet-cancelled user taps "Cancel Premium" | 1. Tap "Cancel Premium" 2. Observe dialog titled "Cancel Premium?" reading "Premium will not renew. You keep it until {Month Year}." (or "Premium will not renew." if no expiry known) 3. Tap "Keep it" | Dialog closes; DELETE /api/billing/subscription is never called; subscription remains active/uncancelled
PROF-026 | Confirming cancellation stops renewal without ending access | Cancel confirmation dialog is open | 1. Tap "Cancel Premium" 2. Tap "Cancel it" | DELETE /api/billing/subscription is called; profile reloads; premium card now shows the cancelled copy and "Renew Premium" button; access is retained until the existing expiry date
PROF-027 | Cancel subscription failure shows an error toast | DELETE /api/billing/subscription fails after confirming | 1. Tap "Cancel Premium", tap "Cancel it" 2. Simulate API failure | Snackbar reads "Could not cancel: {error}"; subscription state remains unchanged
PROF-028 | Account section shows sign-in method and membership info | Profile loaded with createdAt, onboardingPath and privacyAckAt values present | 1. Scroll to the "Account" section 2. Inspect the info rows | "Signs in with" shows linked providers joined by " · " (or "Email & password" if none linked and hasPassword is true, else "Unknown"); "Member since" shows the month/year of createdAt; "Joined for" shows the mapped label ("Exploring audiobooks" / "Preserving a voice" / "Staying close to someone"); "Privacy charter" shows "Accepted" or "Not accepted yet" depending on whether privacyAckAt is set
PROF-029 | Private vault row navigates to the Vault screen | Profile loaded | 1. Scroll to Account section 2. Tap the "Private vault" row (subtitle "Encrypted audio kept only on this device") | App navigates (push) to VaultScreen, passing the current session user
PROF-030 | Log out signs the user out immediately | Profile screen loaded | 1. Scroll to bottom 2. Tap "Log out" | onLogout() is invoked directly with no confirmation dialog, returning the app to its logged-out/login state
PROF-031 | Delete-account dialog warns of irreversible loss; Keep it cancels | Profile screen loaded | 1. Tap "Delete my account" 2. Observe dialog titled "Delete your account?" warning that voice recordings, audiobooks and documents are removed, that voice recordings cannot be re-created, and that this cannot be undone 3. Tap "Keep it" | Dialog closes; DELETE /api/me is never called; user remains logged in on Profile
PROF-032 | Confirming deletion removes the account and logs out | Delete-account confirmation dialog is open | 1. Tap "Delete my account" 2. Tap "Delete forever" | DELETE /api/me is called with body {"confirm":"DELETE"}; on success onLogout() runs, returning the user to the logged-out state
PROF-033 | Account deletion failure keeps the user logged in | DELETE /api/me fails after confirming | 1. Tap "Delete my account", tap "Delete forever" 2. Simulate API failure | Snackbar reads "Could not delete the account: {error}"; onLogout is not called; user remains on Profile with the account intact
VLT-001 | Vault initializes a per-user encrypted store | User navigated to Private vault (Profile -> Private vault) with a known session email | 1. Open Private vault | init() lower-cases the email, creates (if missing) a directory named "vault_{sanitized email}" under app documents, ensures a 256-bit AES-GCM key exists in SharedPreferences for that user, then loads entries; a loading spinner is shown until this completes
VLT-002 | Loading indicator shown while vault initializes | Vault screen just opened, init()/getEntries() not yet resolved | 1. Navigate to Private vault 2. Observe immediately | An MwLoader spinner is centered; no status card, import button or entry list renders until init completes
VLT-003 | Status card text reflects verification state | (a) session user.isVerified = true (b) = false | 1. Open Private vault as a verified user 2. Open again as an unverified user | (a) subtitle reads "AES-256-GCM · identity verified · never leaves this device"; (b) subtitle reads "AES-256-GCM · verification pending · never leaves this device". Ambiguity: the vault screen only displays this status text — it does not itself re-check liveness or block access when unverified; any gating happens earlier in the login/verification flow
VLT-004 | Empty vault shows the empty state | User has zero stored vault entries | 1. Open Private vault with no entries | "In the vault" header shows no count badge; body shows the WaveLogo, "Your vault is empty" heading and "Import an audio file — it is encrypted the moment it arrives." message instead of a list
VLT-005 | Vault with entries lists them newest-first with a count | User has 2+ previously imported entries | 1. Open Private vault with multiple entries stored | "In the vault" header shows the entry count (e.g. "2"); entries are sorted by createdAt descending (most recently imported first)
VLT-006 | Import restricts the file picker to audio types | User taps "Import & encrypt an audio file" | 1. Tap the import button 2. Observe the file picker | Picker opens restricted to extensions mp3, m4a, aac, wav, ogg, single-file selection only
VLT-007 | Cancelling the file picker is a no-op | Import button tapped, picker opened | 1. Tap "Import & encrypt an audio file" 2. Dismiss/cancel the picker without selecting a file | No encryption occurs, entry list unchanged, no snackbar shown (the method returns early when the picked path is null)
VLT-008 | Importing a valid file encrypts and saves it | A valid audio file is selected from the picker | 1. Tap import, select a valid mp3 file 2. Wait for processing | Import button shows a loading state; file bytes are encrypted with AES-256-GCM using a random 12-byte nonce; ciphertext is written to "{id}.abk" in the user's vault directory; a new VaultEntry (nonce, mac, original byte length, display name) is prepended to the index and persisted; snackbar reads "Encrypted and saved to your vault."; the new entry appears at the top of the list
VLT-009 | Import failure shows an error and leaves the vault unchanged | Encryption or file read throws during import (e.g. simulated failure after the file is picked) | 1. Attempt to import a file that triggers a failure | Snackbar reads "Failed to encrypt this file."; entry list is not modified; loading state clears
VLT-010 | Vault entry row displays name, status and size | At least one entry exists | 1. Open Private vault with an entry present 2. Inspect the row | Row shows the original filename (up to 2 lines, ellipsized), an "Encrypted" status pill, and size in KB computed as originalByteLength / 1024 to one decimal place
VLT-011 | Decrypting an entry creates a temporary preview copy | An entry exists in the vault | 1. Tap the decrypt (lock-open) icon on an entry | File is decrypted with the stored per-user key plus the entry's nonce/mac into a temp file named "preview_{id}{ext}" (extension from the display name, defaulting to ".mp3" if none); snackbar shows "Decrypted temp copy: {path}" for 4 seconds
VLT-012 | Decrypt failure is surfaced without crashing | Decryption throws (e.g. corrupted ciphertext or mismatched mac) | 1. Tap the decrypt icon on an entry whose ciphertext/mac cannot be verified | Snackbar reads "Decrypt failed."; the encrypted entry remains untouched in the list
VLT-013 | Deleting an entry removes it from the list and disk | An entry exists in the vault | 1. Tap the delete (trash) icon on an entry | Entry is removed from the persisted index immediately, and its encrypted ".abk" file is deleted from disk if present; the list refreshes without that entry
VLT-014 | Decrypt/delete controls are disabled during an in-flight operation | An import, decrypt or delete is currently running (_working = true) | 1. Start an import 2. While it is in progress, attempt to tap another entry's decrypt or delete icon | Icon buttons are disabled (onPressed null) while _working is true, preventing concurrent vault operations
VLT-015 | Vault storage is scoped per user account | Two different accounts (different emails) each have their own vault entries | 1. Open Private vault as User A, import a file 2. Log out, log in as User B, open Private vault | User B sees an empty vault (or only User B's own prior entries) since the index key, encryption key and storage directory are all namespaced by the lower-cased account email — User A's entries are not visible or decryptable with User B's key
