TC_ID | Title | Preconditions | Steps | Expected Result
VOI-011 | Cancel on Register dialog performs no action | Register dialog open | 1. Tap "Cancel" | Dialog closes; no `register` API call made; row remains unregistered
VOI-012 | Register dialog with cleared/empty name does not submit | Register dialog open | 1. Clear the text field to empty/whitespace 2. Tap "Register" | Because the dialog returns the trimmed text and the code checks `name == null || name.isEmpty`, no API call is made and the row stays unregistered (no validation message is shown — this is a silent no-op, worth flagging as a UX gap)
VOI-013 | Successful registration converts session to a preparing voice | Register dialog open with a valid non-empty name, e.g. "My Reading Voice" | 1. Edit/confirm the name 2. Tap "Register" | `voicesService.register(sessionId, name)` is called; list reloads; a SnackBar shows exactly '"My Reading Voice" is being prepared.'; the row moves from "unregistered" to a `mine` voice with pending-style subtitle
VOI-014 | Registration API failure shows error toast | Register dialog submitted with a valid name; server returns an error | 1. Submit Register dialog while backend call fails | SnackBar shows "Could not register that voice: $e" with the caught error; list state unchanged (still unregistered)
VOI-015 | Lend flow: consent fetch failure blocks the dialog | A ready, non-shared `mine` voice is listed; `GET /api/voices/share-consent` fails | 1. Tap "Lend" on the voice row | No consent dialog appears; SnackBar shows "Could not load the lending terms: $e"; voice remains unshared
VOI-016 | Lend consent dialog shows server-supplied text verbatim | Ready non-shared voice; `shareConsent()` succeeds with `text` = server wording | 1. Tap "Lend" | Dialog titled 'Lend "<voice name>"?' displays the exact `consent.text` returned by the server (not any client-authored paraphrase), with "Not now" and "I agree" actions
VOI-017 | "Not now" cancels the lend dialog without listing the voice | Lend consent dialog open | 1. Tap "Not now" | Dialog closes; `share()` is never called; voice stays private
VOI-018 | Accepting consent lists the voice for lending | Lend consent dialog open | 1. Tap "I agree" | `voicesService.share(id, consentAccepted: true)` is called; list reloads; SnackBar shows '"<voice name>" is now listed.'; row now shows "Lent · N listening" subtitle and a "Withdraw" button
VOI-019 | Lend API failure after accepting consent shows error toast | "I agree" tapped but `share()` call fails | 1. Confirm consent, backend errors | SnackBar shows "Could not list that voice: $e"; voice remains unshared
VOI-020 | Withdraw dialog "Keep lending" cancels | A shared/lent voice row is visible | 1. Tap "Withdraw" trailing button 2. In the confirm dialog tap "Keep lending" | Dialog titled "Stop lending this voice?" with body text "No one new will be able to narrate with it. Audiobooks already made in your voice keep working — withdrawing does not remove them." closes with no API call; voice remains listed as Lent
VOI-021 | Confirming Withdraw stops lending | Withdraw confirm dialog open | 1. Tap "Withdraw" in the confirm dialog | `withdrawShare(id)` is called; list reloads; voice's subtitle changes away from "Lent · N listening" (no success toast is shown for this action per the code)
VOI-022 | Withdraw API failure shows error toast | Withdraw confirmed but backend call fails | 1. Confirm Withdraw while server errors | SnackBar shows "Could not withdraw that voice: $e"; voice still shows as lent
VOI-023 | Narrator voices empty state shows dimmed sample rows and explanation | `voices/list()` returns no non-mine voices (`_narrators` empty) | 1. Load Voices screen | Under "Narrator voices", each `MwSampleData.voices` entry renders at 0.72 opacity, followed by a note box reading "Named narrator voices are on the way — these are examples. Until then, everything MemoryWave narrates uses a voice you recorded yourself."
VOI-024 | Tapping a sample narrator row shows a preview-only message | Narrator voices empty (sample rows shown) | 1. Tap any dimmed sample narrator row | SnackBar shows exactly "Narrator voices are a preview — not selectable yet."; nothing is selected or acquired
VOI-025 | Real narrator voice shows lock or Free badge appropriately | `voices/list()` returns non-mine voices not lent to the user; one `tier` = "premium", one `tier` = "free" | 1. Load Voices screen | Premium narrator row shows a lock_outline icon trailing; free-tier row shows an `MwPriceBadge` labeled "Free"; subtitle is the voice's `traitLine`
VOI-026 | Narrator voice lent to the user shows "Lent to you" and a remove icon | A non-mine voice with `isLent` = true | 1. Load Voices screen | Subtitle reads "Lent to you" (plus " · <traits>" if traits non-empty); trailing is a close (X) IconButton with tooltip "Remove from your voices"
VOI-027 | Removing a lent voice has no confirmation step | A lent narrator voice row visible | 1. Tap the close (X) icon on the lent voice row | `_release()` calls `voicesService.release(id)` immediately with no confirmation dialog; on success the list reloads and the voice disappears from (or changes state in) the narrator shelf
VOI-028 | Release (remove lent voice) API failure shows error toast | Remove tapped but `release()` call fails | 1. Tap the close icon while backend errors | SnackBar shows "Could not remove that voice: $e"; voice remains listed as lent
VOI-029 | "Lent by others" section hidden when marketplace is empty | `voices/marketplace()` returns an empty list | 1. Load Voices screen | No "Lent by others" header or rows are rendered at all (section is conditional on `_marketplace.isNotEmpty`)
VOI-030 | Marketplace voices listed when available | `voices/marketplace()` returns one or more voices | 1. Load Voices screen | "Lent by others" section appears with a row per marketplace voice, subtitle = `traitLine`, trailing = price badge (`forCents`); tapping a row opens the acquire dialog
VOI-031 | Acquire dialog wording for a free marketplace voice | Marketplace voice with `priceCents` <= 0 (`isFree` true) | 1. Tap a free marketplace voice row | Dialog titled 'Use "<voice name>"?' with body "This voice is free to use. It will appear in your voice picker when you narrate." and confirm button labeled "Add it"
VOI-032 | Acquire dialog wording for a paid marketplace voice | Marketplace voice with `priceCents` > 0, e.g. formats to "$4.99" | 1. Tap the paid marketplace voice row | Dialog body reads "This voice costs $4.99. It will appear in your voice picker when you narrate."; confirm button labeled "Buy for $4.99"
VOI-033 | Cancel on acquire dialog performs no action | Acquire dialog open (free or paid) | 1. Tap "Cancel" | Dialog closes; `acquire()` never called; voice does not appear under Your voices/picker
VOI-034 | Confirming acquire adds the voice | Acquire dialog open | 1. Tap "Add it" (free) or "Buy for $price" (paid) | `voicesService.acquire(id)` is called; list reloads; SnackBar shows '"<voice name>" is yours to narrate with.'
VOI-035 | Acquire API failure shows error toast | Acquire confirmed but backend call fails | 1. Confirm acquire while server errors | SnackBar shows "Could not add that voice: $e"; voice not added
VOI-036 | Record CTA launches the voice registration flow | Voices screen loaded | 1. Tap the top "Record your voice" card (subtext "Thirty seconds is all the setup there is.") | `startVoiceRegistrationFlow` runs: a random passage index is chosen and `VoiceListenScreen` is pushed as the first screen of the flow
VOI-037 | Listen screen displays step 1 of 2 and the passage to be read | Voice registration flow just launched | 1. Observe the Listen screen | Header shows "VOICE REGISTRATION · STEP 1 OF 2", title "Listen first" (progress fraction 0.5 on the step bar), and a card "THE PASSAGE YOU WILL READ" with the chosen passage text (two anchor phrases highlighted in accent color); body copy reads "Hear how it sounds with feeling. You will say it in your own way on the next screen — this is inspiration only."
VOI-038 | Sample player is a mock and says so when tapped | Listen screen visible | 1. Tap the round play button on the sample waveform block | SnackBar shows "The narrated sample arrives with the reference-audio endpoint — the passage below is final either way." (no audio actually plays)
VOI-039 | "I'm ready to record" advances to the Record screen | Listen screen visible | 1. Tap "I'm ready to record" | `VoiceRecordScreen` is pushed, carrying the same passage index/protocol context forward
VOI-040 | Back arrow on Listen screen returns to Voices | Listen screen visible | 1. Tap the back chevron (MwSetupBackRow) | `Navigator.maybePop()` returns to the screen the flow was launched from (e.g. Voices), aborting registration
VOI-041 | Record screen name-entry shows the 3-step explainer and duration hint | Record screen freshly opened (stage = enterName) | 1. Observe the "HOW THIS GOES" card | Exactly three bullet lines are shown: "A quick liveness check — hold three head positions.", "Then read a short series of sentences aloud, on camera, in one take.", and "The video is used to extract your voice, then deleted."; header reads "VOICE REGISTRATION · STEP 2 OF 2" / "Your voice" at fraction 1
VOI-042 | Empty session name blocks recording start | Record screen on enterName stage, name field empty | 1. Leave "Name this recording" (hint "e.g. My reading voice") blank 2. Tap "Start recording" | Form validation fails; field shows error "Give this session a name"; stage stays on enterName, no session is created
VOI-043 | Valid name starts session creation and camera setup | Record screen on enterName stage | 1. Enter a name, e.g. "My reading voice" 2. Tap "Start recording" | Stage becomes `preparing` (spinner labeled "Preparing session…"), wakelock enabled, and `captureService.createSession(name)` plus front-camera `CameraController` initialization run
VOI-044 | Session/camera setup failure returns to name entry with an error | Name submitted; `createSession` or camera `initialize()` throws (e.g. permission denied or no camera) | 1. Submit a valid name while the underlying call fails | Stage reverts to `enterName`; an error line appears below the form reading "Could not start recording: $e" with the caught exception; user can retry by tapping "Start recording" again
VOI-045 | Successful setup advances directly into the on-device liveness gate | Session created and camera initialized successfully | 1. Observe screen right after setup completes | Stage becomes `liveness`; `HeadPoseLiveness` widget renders using the initialized camera with `holdSeconds = 2`; per the code's own docs the required sequence is FORWARD -> RIGHT -> LEFT, each held 2 seconds, and nothing is recorded to video during this phase
VOI-046 | Liveness pass triggers pre-roll countdown, not immediate recording | Liveness gate passed (`onPassed` fires) | 1. Complete the head-pose sequence | Stage becomes `preRoll`; screen shows "Get ready…" with a large countdown number starting at `protocol.preRollSec` (rounded up) and ticking down once per second
VOI-047 | Recording starts automatically when pre-roll reaches zero | Pre-roll countdown in progress | 1. Wait for the countdown to reach 0 | `camera.startVideoRecording()` is called automatically (no manual "record" button); stage becomes `stepping` at the first non-liveness protocol step; a "Rec" pill with a pulsing dot appears on the camera frame
VOI-048 | Reading step shows the exact sentence to read, quoted | A speaking step whose `subtext` contains a quoted sentence (`sentenceToRead` non-null) | 1. Observe a stepping screen | Card headed "READ ALOUD" with badge "Randomised each session" shows the sentence wrapped in quotation marks, e.g. '"<sentence text>"'; if no quoted sentence is present in `subtext`, the raw `step.subtext` is shown instead
VOI-049 | Step duration is 1.5x the server-issued duration | A protocol step with `duration_sec` = 10 (from server) | 1. Observe the countdown/progress bar during that step | Effective countdown starts at `ceil(10 * 1.5)` = 15 seconds, and the clock label at the end of the progress bar shows "0:15" (matches the code's documented 1.5x buffer for practised-reader timing)
VOI-050 | Steps auto-advance with no manual control | Reading step timer counting down | 1. Let the per-step timer reach 0 without interacting | The screen automatically advances to the next speaking step (`_advanceToNextStep`) and resets the timer; there is no visible "next"/"skip" button anywhere in this stage
VOI-051 | Step footer shows headline and position in sequence | Any stepping-stage step, e.g. step 2 of 4 with headline "Say it warmly" | 1. Observe footer text below the progress bar | Text reads exactly "Say it warmly · step 2 of 4" (`${step.headline} · step ${_stepIndex+1} of $total`)
VOI-052 | Completing the final step stops recording and shows wrapping-up | On the last speaking step, timer reaches 0 | 1. Let the final step's countdown expire | Stage becomes `wrappingUp` (spinner labeled "Wrapping up…"); `camera.stopVideoRecording()` is awaited, then `onRecorded(sessionId, videoFile, sessionName)` fires, handing control to the uploading screen
VOI-053 | No re-record/retake option exists anywhere in the recording stage | Any point during liveness/pre-roll/stepping | 1. Look for a "retake"/"re-record" affordance on the recording screens | None is present in the code — the only way to redo a take is to fail liveness (loop back) or abort the whole flow via back navigation before recording starts; note as a coverage gap when writing test expectations
VOI-054 | Uploading screen opens automatically with title and liveness row pre-confirmed | Recording just finished (`onRecorded` fired) | 1. Observe the screen right after recording stops | `VoiceUploadingScreen` shows title "Building your voice profile"; the very first checklist row "Liveness confirmed" is already marked done (checkmark), since liveness ran before recording
VOI-055 | Upload checklist progresses through all four stages in order | Upload flow running end to end with a successful backend | 1. Watch the checklist as compression, upload, analysis, and storage complete | Rows advance in order: "Preparing your recording" -> "Uploading securely" -> "Extracting voice identity & anchors" -> "Encrypting & storing your profile"; each completed row shows a checkmark, the current row a pulsing accent dot, later rows an empty outline
VOI-056 | Uploading row shows a live percentage while active | Upload stage in progress with measurable progress callbacks | 1. Observe the "Uploading securely" row mid-upload | Label appends "· N%" (e.g. "Uploading securely · 42%") only while that stage is active and progress is non-null; compression and analysis rows never show a percentage (compression's own internal progress isn't surfaced this way, analysis has none)
VOI-057 | Diagnostics panel surfaces compression size and job polling status | Compression has produced size info and/or at least one job poll has occurred | 1. Scroll to the bottom of the uploading screen once compression/upload has progressed | A "DETAILS" box appears showing a line like "Compressed: 18.4 MB -> 6.2 MB (34% of original) · 720x1280" and, once polling starts, "Job status: <status> (poll #N)" plus the latest stage/log detail if any
VOI-058 | Successful analysis job advances to the Ready screen | Backend job resolves with `status` = "done" | 1. Wait for compression, upload, and analysis to complete successfully | Stage becomes `storing` (progress 1, "Encrypting & storing your profile" marked done); `onDone()` fires and the flow replaces this screen with `VoiceReadyScreen`
VOI-059 | Job failure shows the server's error and returns to the start | Backend job resolves with `status` != "done" and an `error` field, e.g. "Could not detect a clear voice sample." | 1. Let analysis complete with a failure status | `onFailed` fires with that exact error string; the flow shows it in a SnackBar and pops all the way back to the screen the registration flow was launched from; `onCompleted` is NOT called, so no voice list refresh signal is sent
VOI-060 | Job failure with no server-supplied error uses the fallback message | Backend job resolves with `status` != "done" and no `error` field | 1. Let analysis fail without an error message | SnackBar shows the fallback text "Voice analysis failed."; flow pops back to the entry screen same as VOI-059
VOI-061 | Exception during compress/upload/poll shows a generic failure and aborts | Any exception thrown inside compression, upload, or job polling (e.g. network drop) | 1. Trigger a failure at any point in `_run()` (compression error, upload error, poll error) | SnackBar shows "Upload failed: $e" with the caught exception; flow pops back to the entry screen; there is no in-app retry button — the user must restart the whole registration flow from the Voices screen
VOI-062 | Ready screen confirms success with exact copy and status pills | Upload/analysis completed successfully (`onDone` fired) | 1. Observe the Ready screen | Title reads "Your voice is saved"; three numbered facts appear verbatim: "i. Your voice profile is stored securely. The recording video has been deleted.", "ii. You can now generate speech in your own voice, in any emotion, from any text.", "iii. Every clip produced is invisibly watermarked and usable only by you."; three pills read "Voice saved", "Video deleted", "Watermarked"
VOI-063 | "Start using your voice" ends the flow and signals completion | Ready screen visible | 1. Tap "Start using your voice" | Navigator pops every route back to the screen the flow was originally launched from (Voices/Home/Library); `onCompleted` callback fires so the caller can refresh its own voice list
VOI-064 | Newly recorded session appears unregistered, not as a ready persona | A registration flow just completed successfully (Ready screen dismissed) and the caller (e.g. Voices screen) reloads | 1. Return to the Voices screen after finishing registration 2. Inspect "Your voices" | The new recording shows up as an unregistered capture session ("Recorded · not named yet" + "Register" button), NOT as a `mine` voice with "Preparing"/"Ready to narrate" status — the registration flow never calls `voicesService.register()`, so naming/turning it into a lendable persona is a separate manual step the user must still perform (flagging this as the flow's actual behavior, which may be an intentional two-step design or a gap worth confirming with the team)
