TC_ID | Title | Preconditions | Steps | Expected Result
AUD-044 | Skip previous/next respect chapter boundaries | Currently on the first or last chapter | 1. On the first chapter, check the skip_previous button 2. On the last chapter, check skip_next | Skip-previous button's onPressed is null when _player.hasPrevious is false; skip-next's onPressed is null when hasNext is false — both are visually disabled at the boundaries
AUD-045 | Seek slider updates playback position | A chapter with known duration is loaded | 1. Drag the progress Slider in AudiobookPlayerScreen or PlayerScreen to a new position | _player.seek(Duration(milliseconds: v.round())) is invoked; slider is disabled (onChanged null) when duration/max <= 0
AUD-046 | Buffering indicator replaces play icon | processingState is loading or buffering | 1. Trigger a chapter load/seek that causes buffering | The center play/pause button area shows a CircularProgressIndicator instead of the play/pause icon, on both AudiobookPlayerScreen and PlayerScreen
AUD-047 | NowPlaying resumes from last saved server position | PlaybackService.getProgress(book.id) returns a prior, unfinished position within a valid chapter index | 1. Reopen a previously partially-listened book via NowPlayingController.open() | player.setAudioSources() is called with initialIndex/initialPosition taken from the saved PlaybackProgress rather than starting at chapter 0 / position 0
AUD-048 | Resume falls back to start when no saved progress or lookup fails | getProgress() throws, or progress.finished is true, or chapterIndex is out of range | 1. Open a book with no prior playback record (or one already marked finished) | Playback starts at startIndex=0, startAt=Duration.zero (the exception is swallowed silently)
AUD-049 | Reopening the same book is a no-op | NowPlayingController.book already equals the book being opened | 1. While a book is already loaded/playing, call open() again with the same book | Method returns immediately without cancelling timers/subscriptions or reloading audio sources, so playback is not interrupted or restarted
AUD-050 | Playback progress auto-saved every ~10 seconds | A book is playing in NowPlayingController | 1. Start playback and let it run for 20+ seconds | saveProgress() is called roughly every 10 seconds via the periodic Timer, sending current chapterIndex and positionSec
AUD-051 | Progress saved immediately on pause | Playback is active then paused | 1. Play a chapter 2. Tap pause | The playerStateStream listener detects !state.playing and calls _saveProgress() immediately, independent of the 10s timer
AUD-052 | Progress marked finished on completion | Playback reaches the end of the last chapter (processingState == completed) | 1. Let a short chapter/book play to completion | _saveProgress(finished: true) is called, which PUTs finished: true to /api/playback/{id}
AUD-053 | Skip back 10s clamps to zero | Position is less than 10 seconds into playback | 1. At position ~5s, tap the skipBack10 control | Target position (position - 10s) is negative, so player.seek(Duration.zero) is used instead of a negative seek
AUD-054 | Skip forward 10s clamps to chapter/track duration | Position is within 10 seconds of the end | 1. Near the end of a chapter, tap the forward_10 (skipForward10) control | Target position is capped at player.duration rather than seeking past the end
AUD-055 | Playback speed cycles through fixed steps | PlayerScreen or mini-player speed control is visible | 1. Tap the speed pill / "Playback speed" overflow item repeatedly | Speed cycles in order 0.8x -> 1.0x -> 1.25x -> 1.5x -> 2.0x -> back to 0.8x, calling player.setSpeed(speed) each time; label uses one decimal normally, two only when needed (e.g. "1.25x" not "1.30x")
AUD-056 | Text Sync toggle switches player body | PlayerScreen is open on a book | 1. Tap "Turn Text Sync on" in the overflow menu, or tap the subject icon in the secondary row | Body switches from _CoverBody to _TextSyncBody, showing a compact cover, the "Read by" pill, and an "Text Sync On" status pill; toggling again ("Turn Text Sync off") reverts to the cover view
AUD-057 | Text Sync shows message when no cues exist for a chapter | ChapterCues for the current chapter is empty or fetch returns no cues | 1. Enable Text Sync on a chapter without cue data | Centered text "No text available to sync for this chapter." is shown instead of a transcript
AUD-058 | Text Sync auto-scroll pauses after manual drag | Text Sync is on and cues are actively advancing | 1. While transcript is auto-scrolling, manually drag/scroll the list | Auto-scroll is suppressed for 3 seconds from the drag (_autoScrollPausedUntil), after which it resumes following the active cue
AUD-059 | Active cue highlighting and read/unread styling | Text Sync transcript is showing cues | 1. Observe the transcript as playback advances through sentences | The cue matching the current position is bold ink with accent-tinted background; cues before it render in ink3 (read/faded); cues after it render in ink2 (upcoming)
AUD-060 | Download for offline is a disabled/placeholder feature | PlayerScreen overflow menu or secondary row is open | 1. Open the overflow menu 2. Tap "Download for offline" 3. Separately tap the download icon in the secondary row | Overflow item shows subtitle "A Premium feature — not switched on yet" and tapping only closes the sheet with no action; secondary-row download icon is muted-colored and tapping shows snackbar "Offline downloads is coming in a future update." — confirms no functional offline/download flow exists yet
AUD-061 | Bookmarks and Sleep timer are placeholder features | PlayerScreen secondary row is visible | 1. Tap the bookmark_border icon 2. Tap the bedtime_outlined (sleep timer) icon | Each tap shows a SnackBar reading "Bookmarks is coming in a future update." / "Sleep timer is coming in a future update." respectively — no bookmark or timer is actually set
AUD-062 | Chapter indicator uses Roman numerals | PlayerScreen progress row is visible during playback | 1. Play chapter 3 (zero-indexed 2) 2. Observe the chapter pill between position/duration | Pill reads "Chapter III" (1-based index converted to Roman numerals via _toRoman)
AUD-063 | Player header dismiss does not stop playback | PlayerScreen is open and audio is playing | 1. Tap the down-chevron in the header | Navigator.maybePop() closes the screen only; because the screen is bound to the shared NowPlayingController/AudioPlayer rather than owning it, playback continues uninterrupted in the mini-player
AUD-064 | "Nothing loaded" placeholder when no book is active | NowPlayingController.book is null (nothing has been played this session) | 1. Open PlayerScreen without ever having opened an audiobook | Body shows centered text "Nothing loaded." instead of the cover/transport UI
AUD-065 | Generation job stream drop retries then gives up after repeated foreground failures | The SSE job stream and the polling fallback both repeatedly throw while the app stays in the foreground | 1. Start a narration 2. Simulate 5 consecutive foreground connection failures while following the job | Status text shows "Connection lost — reconnecting." during retries; after 5 foreground failures (maxForegroundFailures) the task fails with "Lost contact with the narration job. It may still be finishing on the server — pull down to refresh in a minute."
AUD-066 | Backgrounding the app during generation reconnects on resume | A narration job is being followed via SSE when the app is backgrounded | 1. Start a narration 2. Background the app mid-narration 3. Bring the app back to the foreground | didChangeAppLifecycleState detects AppLifecycleState.resumed, abandons the (possibly-dead) job stream via _abandonJobStream(), and _followJob reconnects/polls again without counting the interruption as a foreground failure
AUD-067 | Notification permission requested when generation starts | User taps Generate for the first time this session | 1. Submit a valid narration request | NotificationService.init() is invoked immediately (unawaited) while the "Narration started" dialog is still on screen, so the OS permission prompt appears while the user is actively engaged rather than 10–15 minutes later when the app may be backgrounded
