TC_ID | Title | Preconditions | Steps | Expected Result
VER-006 | Step 1 of 3: "Look FORWARD" must be held steady before advancing | Verification started (recording in progress), on step 1 of 3 | 1. Face the camera straight on and hold | "Face marker" turns to a positive/green state once a valid face is detected; once yaw is within ±10° of forward for ~3 consecutive stable frames, a hold countdown begins (default 2s per code, though the on-screen "3 dots" progress and step counter reflect 3 total steps: Look FORWARD, Turn LEFT, Turn RIGHT — note the order differs from the standalone voice-recording liveness widget, which uses forward/right/left); holding for the full countdown advances to step 2
VER-007 | Losing the pose mid-countdown cancels the hold and requires re-matching | Verification in progress, hold countdown active for the current step | 1. Turn away from the target pose before the countdown reaches 0 | Countdown cancels (pose match reset to false); the step's target instruction remains active and the user must re-achieve and re-hold the pose to progress
VER-008 | Switching to a different face mid-check resets pose-hold progress | Verification in progress, one face already being tracked | 1. Have a second/different face enter frame such that ML Kit assigns a new tracking id | Pose-hold progress resets to 0 for the new tracking id rather than crediting an in-progress hold to the new face
VER-009 | A face too small or too near the frame edge is not counted as a valid face | Verification in progress | 1. Move the face far from the camera (small in frame) or to the extreme edge of frame | "Face marker" stays off / pose is not evaluated as matched — face is rejected by the area-ratio (≥4% of frame) and center-position bounds checks even though ML Kit technically detected something
VER-010 | All three poses held in order completes verification and saves local audio/video | All three head-pose steps (Look FORWARD, Turn LEFT, Turn RIGHT) held successfully in sequence | 1. Complete step 1 (Look FORWARD) 2. Complete step 2 3. Complete step 3 | Recording stops; success message "Verification successful. Audio and video recorded locally." is shown; app then calls the completion callback, which sets the account's isVerified flag locally and shows a second snackbar "Verification complete."; app navigates to Home
VER-011 | Verification completion sets a per-account local flag, not a server-side one | Verification just completed successfully | 1. Complete verification 2. (Separately, out of scope for UI testing) inspect that no verification-status API call was made | isVerified is stored only in local SharedPreferences keyed by the user's id (verified_v1_<id>) — there is no backend endpoint for this per the code's own comment; reinstalling the app or clearing app data will require verification again for the same account
VER-012 | Recorded audio missing/empty produces a specific failure message | Verification flow reaches the finish step but the audio file is missing or 0 bytes (e.g. recorder failure) | 1. Complete the pose sequence in a state where audio recording failed | Failure handled via "Verification failed: Exception: Audio was not recorded." (or "...Audio file was not saved." / "...Audio file is empty." depending on which check trips); recording/camera state is cleanly reset, error shown, "Start Verification" re-enabled
VER-013 | Recorded video missing/empty produces a specific failure message | Verification flow reaches the finish step but the video file is missing or 0 bytes | 1. Complete the pose sequence in a state where video recording failed | Failure handled via "Verification failed: Exception: Video was not recorded." (or "...Video file was not saved." / "...Video file is empty."); state resets, error shown, retry possible
VER-014 | "Restart Verification" is available after a failure and resets the flow | Verification screen showing an error state (e.g. after a failure or camera error) | 1. Tap "Restart Verification" | All in-progress state clears (step resets to 0, face/pose flags reset, error/success messages cleared); user can attempt "Start Verification" again from the beginning
VER-015 | Backing out of the app mid-verification does not crash and releases the camera | Verification in progress (recording active) | 1. Background the app or navigate away mid-recording (e.g. Home button) | Camera controller, audio recorder, and face detector are disposed cleanly (dispose() stops the image stream, disposes the camera controller, audio recorder, and face detector); no crash on return
VER-016 | Yaw sign convention: turning head LEFT vs RIGHT maps to the correct on-screen instruction | Verification in progress, on the "Turn LEFT" or "Turn RIGHT" step | 1. On "Turn LEFT", turn head to the user's actual left 2. On "Turn RIGHT", turn to the user's actual right | Each turn is matched to its corresponding step per the code's yaw-sign convention (documented in code as: on the unmirrored front camera buffer, turning left gives positive yaw, right gives negative — flag as a device-dependent risk if a given device/mirroring setup reports inverted signs, since the code comments explicitly note this may need flipping per device)
REG-001 | Registration form required-field validation (empty submit) | On the Registration screen, all fields blank | 1. Tap "Create my MemoryWave" with all fields empty | "Name is required" under Full name; "Email is required" under Email; "Password must be at least 8 characters" under Password (0 < 8 chars counts as too short — there is no separate empty-password message on this screen, unlike Login); Confirm password has no independent empty check beyond the mismatch rule
REG-002 | Email must contain "@" on the Registration form too | Name and passwords valid | 1. Enter an email with no "@" 2. Fill other fields validly 3. Submit | "Enter a valid email" shown under Email; same relaxed check as Login (`.contains('@')` only)
REG-003 | Password must be at least 8 characters | Name/email valid, password under 8 characters (e.g. "short") | 1. Enter a 5-character password 2. Match it in Confirm password 3. Submit | "Password must be at least 8 characters" shown under Password
REG-004 | Password exactly 8 characters is accepted by client-side validation | Name/email valid | 1. Enter an 8-character password 2. Match it in Confirm password 3. Submit | No password-length validation error (the check is strictly `< 8`, so 8 passes); request proceeds to the backend
REG-005 | Confirm password must exactly match Password | Name/email valid, password ≥ 8 chars | 1. Enter a password 2. Enter a different string in Confirm password 3. Submit | "Passwords do not match" shown under Confirm password; no network call made
REG-006 | Registering with an email that already exists shows the correct backend-derived error | Name/password fields valid; email belongs to an existing account | 1. Enter an already-registered email 2. Fill remaining fields validly 3. Submit | Snackbar reads "An account with this email already exists." (mapped from HTTP 409); user remains on the Registration screen
REG-007 | Network failure during registration shows a generic connectivity error | Form valid; device offline or backend unreachable | 1. Submit a valid new registration while offline | Snackbar reads "Could not reach the server. Check your connection."
REG-008 | Successful registration logs the user in immediately and proceeds to Verification, despite the success message implying a separate login step | Form filled with a genuinely new, unused email and valid matching passwords ≥8 chars | 1. Submit the form | Snackbar reads "Registration successful. Please log in." — BUT the register API response already returns auth tokens, which the app stores and treats as an active session immediately (see auth_service.dart _completeAuth); the very next screen is First-Login Verification, not the Login screen. This is a real copy/behavior mismatch worth flagging to the team, not a test artifact
REG-009 | "Create my MemoryWave" shows a loading state while submitting | Form valid | 1. Submit 2. Immediately observe the submit button | Button shows its loading indicator until the request completes
REG-010 | "I already have an account" link returns to the Login screen without submitting | On the Registration screen, form partially or fully filled | 1. Tap "I already have an account" | Navigates back to the Login/auth screen; no registration request is sent; any entered data is discarded (fields are on a screen that gets disposed)
REG-011 | Full name field only checks for non-empty after trimming (no character/format restriction observed) | On the Registration screen | 1. Enter a name consisting only of leading/trailing spaces 2. Fill other fields validly 3. Submit | "Name is required" is shown, since the validator trims before checking emptiness; a name of only whitespace is rejected. A name with digits/symbols, however, passes client-side validation with no format restriction — confirm whether the backend enforces anything stricter
